,country,name,full_name,symbol,currency,class,market
892,world,STOXX Asia/Pacific 600 Construction & Materials EU,STOXX Asia/Pacific 600 Construction & Materials EUR Price,SXP1CNSE,EUR,primary_sectors,global_indices
893,world,STOXX Asia/Pacific 600 Chemicals USD Price,STOXX Asia/Pacific 600 Chemicals USD Price,SXP1CHM,USD,primary_sectors,global_indices
894,world,STOXX Asia/Pacific 600 Chemicals EUR Price,STOXX Asia/Pacific 600 Chemicals EUR Price,SXP1CHME,EUR,primary_sectors,global_indices
895,world,STOXX Asia/Pacific 600 Basic Resources USD Price,STOXX Asia/Pacific 600 Basic Resources USD Price,SXP1BAS,USD,primary_sectors,global_indices
896,world,STOXX Asia/Pacific 600 Basic Resources EUR Price,STOXX Asia/Pacific 600 Basic Resources EUR Price,SXP1BASE,EUR,primary_sectors,global_indices
897,world,STOXX Asia/Pacific 600 Automobiles & Parts USD Pri,STOXX Asia/Pacific 600 Automobiles & Parts USD Price,SXP1ATO,USD,primary_sectors,global_indices
898,world,STOXX Asia/Pacific 600 Food & Beverage EUR Price,STOXX Asia/Pacific 600 Food & Beverage EUR Price,SXP1FOBE,EUR,primary_sectors,global_indices
899,world,STOXX Asia/Pacific 600 Automobiles & Parts EUR Pri,STOXX Asia/Pacific 600 Automobiles & Parts EUR Price,SXP1ATOE,EUR,primary_sectors,global_indices
900,world,FTSE CNBC Global 300 Technology,FTSE CNBC Global 300 Technology,FTFCNBCG9500,USD,primary_sectors,global_indices
901,world,FTSE CNBC Global 300 Financial Services,FTSE CNBC Global 300 Financial Services,FTFCNBCG8700,USD,primary_sectors,global_indices
902,world,FTSE CNBC Global 300 Real Estate REITs,FTSE CNBC Global 300 Real Estate REITs,FTFCNBCG8600,USD,primary_sectors,global_indices
903,world,FTSE CNBC Global 300 Insurance,FTSE CNBC Global 300 Insurance,FTFCNBCG8500,USD,primary_sectors,global_indices
904,world,FTSE CNBC Global 300 Banks,FTSE CNBC Global 300 Banks,FTFCNBCG8300,USD,primary_sectors,global_indices
905,world,FTSE CNBC Global 300 Utilities,FTSE CNBC Global 300 Utilities,FTFCNBCG7500,USD,primary_sectors,global_indices
906,world,FTSE CNBC Global 300 Telecommunications,FTSE CNBC Global 300 Telecommunications,FTFCNBCG6500,USD,primary_sectors,global_indices
907,world,FTSE CNBC Global 300 Travel & Leisure,FTSE CNBC Global 300 Travel & Leisure,FTFCNBCG5700,USD,primary_sectors,global_indices
908,world,FTSE CNBC Global 300 Media,FTSE CNBC Global 300 Media,FTFCNBCG5500,USD,primary_sectors,global_indices
909,world,FTSE NAREIT Real Estate 50,FTSE NAREIT Real Estate 50,FTFNR5,USD,primary_sectors,global_indices
910,world,STOXX Asia/Pacific 600 Food & Beverage USD Price,STOXX Asia/Pacific 600 Food & Beverage USD Price,SXP1FOB,USD,primary_sectors,global_indices
911,world,STOXX Asia/Pacific 600 Health Care EUR Price,STOXX Asia/Pacific 600 Health Care EUR Price,SXP1HCRE,EUR,primary_sectors,global_indices
912,world,STOXX Asia/Pacific 600 Health Care USD Price,STOXX Asia/Pacific 600 Health Care USD Price,SXP1HCR,USD,primary_sectors,global_indices
913,world,STOXX Asia/Pacific 600 Real Estate EUR Price,STOXX Asia/Pacific 600 Real Estate EUR Price,AXAPREP,EUR,primary_sectors,global_indices
914,world,STOXX Asia/Pacific 600 Oil & Gas USD Price,STOXX Asia/Pacific 600 Oil & Gas USD Price,SXP1ENE,USD,primary_sectors,global_indices
915,world,STOXX Asia/Pacific 600 Oil & Gas EUR Price,STOXX Asia/Pacific 600 Oil & Gas EUR Price,SXP1ENEE,EUR,primary_sectors,global_indices
916,world,STOXX Asia/Pacific 600 Media USD Price,STOXX Asia/Pacific 600 Media USD Price,SXP1MDI,USD,primary_sectors,global_indices
917,world,STOXX Asia/Pacific 600 Media EUR Price,STOXX Asia/Pacific 600 Media EUR Price,SXP1MDIE,EUR,primary_sectors,global_indices
918,world,STOXX Asia/Pacific 600 Banks USD Price,STOXX Asia/Pacific 600 Banks USD Price,SXP1BNK,USD,primary_sectors,global_indices
919,world,STOXX Asia/Pacific 600 Banks EUR Price,STOXX Asia/Pacific 600 Banks EUR Price,SXP1BNKE,EUR,primary_sectors,global_indices
920,world,STOXX Asia/Pacific 600 Utilities USD Price,STOXX Asia/Pacific 600 Utilities USD Price,SXP1UTI,USD,primary_sectors,global_indices
921,world,STOXX Asia/Pacific 600 Utilities EUR Price,STOXX Asia/Pacific 600 Utilities EUR Price,SXP1UTIE,EUR,primary_sectors,global_indices
922,world,STOXX Asia/Pacific 600 Travel & Leisure USD Price,STOXX Asia/Pacific 600 Travel & Leisure USD Price,SXP1CGS,USD,primary_sectors,global_indices
923,world,STOXX Asia/Pacific 600 Travel & Leisure EUR Price,STOXX Asia/Pacific 600 Travel & Leisure EUR Price,SXP1CGSE,EUR,primary_sectors,global_indices
924,world,STOXX Asia/Pacific 600 Telecommunications USD Pric,STOXX Asia/Pacific 600 Telecommunications USD Price,SXP1TLS,USD,primary_sectors,global_indices
925,world,STOXX Asia/Pacific 600 Telecommunications EUR Pric,STOXX Asia/Pacific 600 Telecommunications EUR Price,SXP1TLSE,EUR,primary_sectors,global_indices
926,world,STOXX Asia/Pacific 600 Technology USD Price,STOXX Asia/Pacific 600 Technology USD Price,SXP1TEC,USD,primary_sectors,global_indices
927,world,STOXX Asia/Pacific 600 Technology EUR Price,STOXX Asia/Pacific 600 Technology EUR Price,SXP1TECE,EUR,primary_sectors,global_indices
928,world,STOXX Asia/Pacific 600 Personal & Household Goods,STOXX Asia/Pacific 600 Personal & Household Goods USD Price,SXP1NCG,USD,primary_sectors,global_indices
929,world,STOXX Asia/Pacific 600 Personal & Household Goods,STOXX Asia/Pacific 600 Personal & Household Goods EUR Price,SXP1NCGE,EUR,primary_sectors,global_indices
930,world,STOXX Asia/Pacific 600 Insurance USD Price,STOXX Asia/Pacific 600 Insurance USD Price,SXP1INS,USD,primary_sectors,global_indices
931,world,STOXX Asia/Pacific 600 Insurance EUR Price,STOXX Asia/Pacific 600 Insurance EUR Price,SXP1INSE,EUR,primary_sectors,global_indices
932,world,STOXX Asia/Pacific 600 Industrial Goods & Services,STOXX Asia/Pacific 600 Industrial Goods & Services USD Price,SXP1IGS,USD,primary_sectors,global_indices
933,world,STOXX Asia/Pacific 600 Industrial Goods & Services,STOXX Asia/Pacific 600 Industrial Goods & Services EUR Price,SXP1IGSE,EUR,primary_sectors,global_indices
934,world,BNY Mellon Utilities Classic ADR,BNY Mellon Utilities Classic ADR,BKCUT,USD,primary_sectors,global_indices
935,world,Robo-Stox Global Robotics Automatio,Robo-Stox Global Robotics Automation UCITS,ROBOT,USD,other_indices,global_indices
